grad_norm,loss,loss_cal,loss_cal_q0,loss_diff,loss_diff_q0,loss_q0,param_norm,samples,step,loss_cal_q1,loss_diff_q1,loss_q1,loss_cal_q2,loss_diff_q2,loss_q2,loss_cal_q3,loss_diff_q3,loss_q3
20.262316872390265,1.0443310288791965,0.19428998231887817,0.19428998231887817,1.0443310288791965,1.0443310288791965,1.0443310288791965,227.1653686507772,1,0,,,,,,,,,
16.29944600692621,1.0181616619927454,0.17893467843532562,,1.0181616619927454,,,227.16551995895895,2,1,0.17893467843532562,1.0181616619927454,1.0181616619927454,,,,,,
19.152355267014947,1.0153132280640773,0.17239463329315186,0.17239463329315186,1.0153132280640773,1.0153132280640773,1.0153132280640773,227.16579508115385,3,2,,,,,,,,,
12.53767307890606,1.0317771770567092,0.17625725269317627,0.17625725269317627,1.0317771770567092,1.0317771770567092,1.0317771770567092,227.16608945313504,4,3,,,,,,,,,
18.08605162462954,0.960968592621466,0.20080609619617462,,0.960968592621466,,,227.16640871587552,5,4,,,,0.20080609619617462,0.960968592621466,0.960968592621466,,,
16.964844026481263,1.0093401742726194,0.19448590278625488,,1.0093401742726194,,,227.16675555779835,6,5,,,,0.19448590278625488,1.0093401742726194,1.0093401742726194,,,
16.1567377886287,0.9956545070031821,0.1820201575756073,,0.9956545070031821,,,227.16714671405234,7,6,,,,,,,0.1820201575756073,0.9956545070031821,0.9956545070031821
735.1574193834612,1.0022966899058268,0.1730198860168457,,1.0022966899058268,,,227.16757737156976,8,7,,,,0.1730198860168457,1.0022966899058268,1.0022966899058268,,,
12.575839933143481,0.9977928823624409,0.17706580460071564,0.17706580460071564,0.9977928823624409,0.9977928823624409,0.9977928823624409,227.16802162711002,9,8,,,,,,,,,
13.343011983608132,1.001084884782458,0.18218395113945007,,1.001084884782458,,,227.16855015260606,10,9,,,,,,,0.18218395113945007,1.001084884782458,1.001084884782458
17.344091853062487,0.9621142317307774,0.17532409727573395,,0.9621142317307774,,,227.16914285639132,11,10,,,,,,,0.17532409727573395,0.9621142317307774,0.9621142317307774
14.998605918066037,0.9810963084170301,0.16961970925331116,,0.9810963084170301,,,227.16976545084083,12,11,,,,,,,0.16961970925331116,0.9810963084170301,0.9810963084170301
14.850450711063287,0.9700553449597015,0.18039241433143616,,0.9700553449597015,,,227.17040968067002,13,12,,,,,,,0.18039241433143616,0.9700553449597015,0.9700553449597015
924.0666642042905,0.9769257990671832,0.16618752479553223,,0.9769257990671832,,,227.17106397956977,14,13,,,,0.16618752479553223,0.9769257990671832,0.9769257990671832,,,
14.670534199955002,0.9922500205376079,0.17561690509319305,,0.9922500205376079,,,227.17181513747892,15,14,0.17561690509319305,0.9922500205376079,0.9922500205376079,,,,,,
11.21832733598622,0.9569961682462249,0.17220339179039001,,0.9569961682462249,,,227.1726472781031,16,15,,,,,,,0.17220339179039001,0.9569961682462249,0.9569961682462249
621.7109606703702,0.950508166549002,0.16476783156394958,,0.950508166549002,,,227.17352099769803,17,16,,,,,,,0.16476783156394958,0.950508166549002,0.950508166549002
356.7957078249574,0.8984253816055664,0.1658003032207489,,0.8984253816055664,,,227.17449088093792,18,17,,,,0.1658003032207489,0.8984253816055664,0.8984253816055664,,,
11.204983958879167,1.0025067891472506,0.1639994978904724,0.1639994978904724,1.0025067891472506,1.0025067891472506,1.0025067891472506,227.17564775274838,19,18,,,,,,,,,
12.585771096534577,1.0095051744552372,0.1732027530670166,,1.0095051744552372,,,227.1768984647636,20,19,0.1732027530670166,1.0095051744552372,1.0095051744552372,,,,,,
11.512058408399518,1.0005218019776896,0.17348326742649078,,1.0005218019776896,,,227.17820315425357,21,20,,,,,,,0.17348326742649078,1.0005218019776896,1.0005218019776896
9.862813468204495,0.9553142831241089,0.16148927807807922,0.16148927807807922,0.9553142831241089,0.9553142831241089,0.9553142831241089,227.17953640457438,22,21,,,,,,,,,
11.918192780656838,0.9882325336302302,0.16062460839748383,,0.9882325336302302,,,227.18086868412112,23,22,0.16062460839748383,0.9882325336302302,0.9882325336302302,,,,,,
628.7363791069279,0.8626319332693524,0.16334891319274902,,0.8626319332693524,,,227.18218367586346,24,23,0.16334891319274902,0.8626319332693524,0.8626319332693524,,,,,,
7.510652417615522,1.01211672893071,0.16545531153678894,,1.01211672893071,,,227.1831838797687,25,24,,,,,,,0.16545531153678894,1.01211672893071,1.01211672893071
17.965837595733163,1.0211808673536784,0.18409612774848938,,1.0211808673536784,,,227.18435811327447,26,25,,,,0.18409612774848938,1.0211808673536784,1.0211808673536784,,,
9.7217420975913,0.9398761776896779,0.17258808016777039,,0.9398761776896779,,,227.18561527760951,27,26,,,,0.17258808016777039,0.9398761776896779,0.9398761776896779,,,
9.777395436467675,0.9889595906052187,0.15831533074378967,,0.9889595906052187,,,227.18705590163458,28,27,,,,0.15831533074378967,0.9889595906052187,0.9889595906052187,,,
10.023857840099694,1.0270578420603944,0.15987685322761536,0.15987685322761536,1.0270578420603944,1.0270578420603944,1.0270578420603944,227.18859697816194,29,28,,,,,,,,,
382.31407167294554,0.9940667296074102,0.16153079271316528,0.16153079271316528,0.9940667296074102,0.9940667296074102,0.9940667296074102,227.1901993041024,30,29,,,,,,,,,
10.45583306221632,1.0302630300764535,0.16713795065879822,,1.0302630300764535,,,227.19142680131085,31,30,,,,0.16713795065879822,1.0302630300764535,1.0302630300764535,,,
12.363401061132494,0.9586478931728104,0.15849319100379944,,0.9586478931728104,,,227.19318620221793,32,31,,,,0.15849319100379944,0.9586478931728104,0.9586478931728104,,,
